trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
45:17:1416200,16:00:00,16:00:00,2100,1,0,,0,0,1
45:17:1416200,16:02:00,16:02:00,1714,2,1056,,0,0,0
45:17:1416200,16:03:00,16:03:00,4206,3,1430,,0,0,0
45:17:1416200,16:04:00,16:04:00,1715,4,1880,,0,0,0
45:17:1416200,16:06:00,16:06:00,6103,5,2544,,0,0,0
45:17:1416200,16:07:00,16:07:00,1716,6,2905,,0,0,0
45:17:1416200,16:08:00,16:08:00,1717,7,3561,,0,0,0
45:17:1416200,16:09:00,16:09:00,14201,8,4013,,0,0,0
45:17:1416200,16:11:00,16:11:00,9122,9,4598,,0,0,0
45:17:1416200,16:15:00,16:15:00,15107,10,5126,,0,0,1
45:17:1416200,16:16:00,16:16:00,14246,11,5895,,0,0,0
45:17:1416200,16:16:00,16:16:00,14244,12,6122,,0,0,0
45:17:1416200,16:17:00,16:17:00,14255,13,6621,,0,0,0
45:17:1416200,16:18:00,16:18:00,8027,14,7102,,0,0,0
45:17:1416200,16:20:00,16:20:00,15148,15,7825,,0,0,0
45:17:1416200,16:21:00,16:21:00,1719,16,8801,,0,0,0
45:17:1416200,16:23:00,16:23:00,1720,17,9630,,0,0,0
45:17:1416200,16:24:00,16:24:00,4112,18,10364,,0,0,0
45:17:1416200,16:26:00,16:26:00,4114,19,11022,,0,0,0
45:17:1416200,16:30:00,16:30:00,2100,20,11885,,0,0,1
45:4:1416220,09:30:00,09:30:00,2100,1,0,,0,0,1
45:4:1416220,09:32:00,09:32:00,1714,2,1056,,0,0,0
45:4:1416220,09:33:00,09:33:00,4206,3,1430,,0,0,0
45:4:1416220,09:34:00,09:34:00,1715,4,1880,,0,0,0
45:4:1416220,09:36:00,09:36:00,6103,5,2544,,0,0,0
45:4:1416220,09:37:00,09:37:00,1716,6,2905,,0,0,0
45:4:1416220,09:38:00,09:38:00,1717,7,3561,,0,0,0
45:4:1416220,09:39:00,09:39:00,14201,8,4013,,0,0,0
