route_id,service_id,trip_id,trip_headsign,shape_id
45,1416200,45:17:1416200,LONDON RD EXPRESS,1004169
45,1416220,45:4:1416220,LONDON RD EXPRESS,1004169
45,1416263,45:11:1416263,LONDON RD EXPRESS,1004169
45,1416473,45:10:1416473,LONDON RD EXPRESS,1004169
45,1416485,45:8:1416485,LONDON RD EXPRESS,1004169
45,1416539,45:9:1416539,LONDON RD EXPRESS,1004169
45,1416643,45:19:1416643,LONDON RD EXPRESS,1004169
45,1416765,45:18:1416765,LONDON RD EXPRESS,1004169
45,1416938,45:3:1416938,LONDON RD EXPRESS,1004169
45,1416988,45:16:1416988,LONDON RD EXPRESS,1004169
45,1417006,45:2:1417006,LONDON RD EXPRESS,1004169
45,1417007,45:1:1417007,LONDON RD EXPRESS,1004169
45,1417176,45:6:1417176,LONDON RD EXPRESS,1004169
33,1417242,33:1:1417242,DOWNTOWN,1004199
45,1417528,45:5:1417528,LONDON RD EXPRESS,1004169
45,1417563,45:13:1417563,LONDON RD EXPRESS,1004169
45,1417664,45:12:1417664,LONDON RD EXPRESS,1004169
45,1417758,45:7:1417758,LONDON RD EXPRESS,1004169
45,1417840,45:14:1417840,LONDON RD EXPRESS,1004169
45,1417953,45:15:1417953,LONDON RD EXPRESS,1004169
26,1432181,26:20:1432181,WELLINGTON MAXWELL,1004222
26,1432193,26:7:1432193,WELLINGTON MAXWELL,1004222
26,1432218,26:3:1432218,WELLINGTON MAXWELL,1004222
26,1432231,26:18:1432231,WELLINGTON MAXWELL,1004222
26,1432322,26:1:1432322,WELLINGTON MAXWELL,1004222
26,1432354,26:22:1432354,WELLINGTON MAXWELL,1004222
26,1432364,26:4:1432364,WELLINGTON MAXWELL,1004222
26,1432395,26:12:1432395,WELLINGTON MAXWELL,1004222
26,1432430,26:9:1432430,WELLINGTON MAXWELL,1004222
26,1432459,26:11:1432459,WELLINGTON MAXWELL,1004222
26,1432513,26:8:1432513,WELLINGTON MAXWELL,1004222
26,1432626,26:10:1432626,WELLINGTON MAXWELL,1004222
26,1432790,26:24:1432790,WELLINGTON MAXWELL,1004222
26,1432809,26:14:1432809,WELLINGTON MAXWELL,1004222
26,1432822,26:2:1432822,WELLINGTON MAXWELL,1004222
26,1432935,26:15:1432935,WELLINGTON MAXWELL,1004222
26,1432971,26:13:1432971,WELLINGTON MAXWELL,1004222
26,1433045,26:6:1433045,WELLINGTON MAXWELL,1004222
26,1433232,26:21:1433232,WELLINGTON MAXWELL,1004222
26,1433291,26:16:1433291,WELLINGTON MAXWELL,1004222
26,1433410,26:19:1433410,WELLINGTON MAXWELL,1004222
26,1433483,26:17:1433483,WELLINGTON MAXWELL,1004222
26,1433713,26:5:1433713,WELLINGTON MAXWELL,1004222
26,1433731,26:23:1433731,WELLINGTON MAXWELL,1004222
33,1457173,33:10:1457173,CLEARWATER,1004202
37,1460414,37:5:1460414,SHERWOOD WALMART,1004279
37,1460451,37:15:1460451,SHERWOOD WALMART,1004279
37,1460455,37:22:1460455,SHERWOOD WALMART,1004279
37,1460472,37:13:1460472,SHERWOOD WALMART,1004279
37,1460490,37:3:1460490,SHERWOOD WALMART,1004279
37,1460493,37:4:1460493,SHERWOOD WALMART,1004279
37,1460650,37:16:1460650,SHERWOOD WALMART,1004279
37,1460676,37:1:1460676,SHERWOOD WALMART,1004279
37,1460763,37:9:1460763,SHERWOOD WALMART,1004279
37,1460790,37:7:1460790,SHERWOOD WALMART,1004279
37,1460791,37:10:1460791,SHERWOOD WALMART,1004279
37,1460793,37:22:1460793,SHERWOOD WALMART,1004279
37,1460819,37:17:1460819,SHERWOOD WALMART,1004279
37,1460864,37:8:1460864,SHERWOOD WALMART,1004279
37,1460875,37:15:1460875,SHERWOOD WALMART,1004279
37,1460906,37:20:1460906,SHERWOOD WALMART,1004279
37,1460988,37:6:1460988,SHERWOOD WALMART,1004279
37,1461006,37:14:1461006,SHERWOOD WALMART,1004279
37,1461010,37:16:1461010,SHERWOOD WALMART,1004279
37,1461015,37:8:1461015,SHERWOOD WALMART,1004279
37,1461041,37:14:1461041,SHERWOOD WALMART,1004279
37,1461051,37:13:1461051,SHERWOOD WALMART,1004279
37,1461054,37:23:1461054,SHERWOOD WALMART,1004279
37,1461089,37:2:1461089,SHERWOOD WALMART,1004279
37,1461143,37:21:1461143,SHERWOOD WALMART,1004279
37,1461156,37:6:1461156,SHERWOOD WALMART,1004279
37,1461198,37:18:1461198,SHERWOOD WALMART,1004279
37,1461208,37:5:1461208,SHERWOOD WALMART,1004279
37,1461247,37:21:1461247,SHERWOOD WALMART,1004279
37,1461251,37:19:1461251,SHERWOOD WALMART,1004279
37,1461257,37:17:1461257,SHERWOOD WALMART,1004279
37,1461261,37:18:1461261,SHERWOOD WALMART,1004279
37,1461303,37:9:1461303,SHERWOOD WALMART,1004279
37,1461368,37:1:1461368,SHERWOOD WALMART,1004279
37,1461374,37:20:1461374,SHERWOOD WALMART,1004279
37,1461399,37:3:1461399,SHERWOOD WALMART,1004279
37,1461437,37:12:1461437,SHERWOOD WALMART,1004279
37,1461509,37:2:1461509,SHERWOOD WALMART,1004279
37,1461561,37:11:1461561,SHERWOOD WALMART,1004279
37,1461643,37:4:1461643,SHERWOOD WALMART,1004279
37,1461770,37:12:1461770,SHERWOOD WALMART,1004279
37,1461951,37:10:1461951,SHERWOOD WALMART,1004279
37,1461974,37:7:1461974,SHERWOOD WALMART,1004279
37,1461985,37:24:1461985,SHERWOOD WALMART,1004279
37,1461989,37:11:1461989,SHERWOOD WALMART,1004279
37,1461996,37:19:1461996,SHERWOOD WALMART,1004279
26,1467958,26:10:1467958,WELLINGTON MAXWELL,1004222
26,1467970,26:10:1467970,WELLINGTON MAXWELL,1004222
25,1467977,25:9:1467977,CONFEDERATION WELLINGTON,1004172
26,1467983,26:20:1467983,WELLINGTON MAXWELL,1004222
26,1468010,26:22:1468010,WELLINGTON MAXWELL,1004222
26,1468013,26:9:1468013,WELLINGTON MAXWELL,1004222
25,1468014,25:13:1468014,CONFEDERATION WELLINGTON,1004172
26,1468029,26:14:1468029,WELLINGTON MAXWELL,1004222
26,1468035,26:15:1468035,WELLINGTON MAXWELL,1004222
26,1468039,26:2:1468039,WELLINGTON MAXWELL,1004222
26,1468049,26:3:1468049,WELLINGTON MAXWELL,1004222
26,1468053,26:17:1468053,WELLINGTON MAXWELL,1004222
25,1468066,25:5:1468066,CONFEDERATION WELLINGTON,1004172
26,1468068,26:24:1468068,WELLINGTON MAXWELL,1004222
26,1468099,26:8:1468099,WELLINGTON MAXWELL,1004222
26,1468101,26:6:1468101,WELLINGTON MAXWELL,1004222
26,1468103,26:7:1468103,WELLINGTON MAXWELL,1004222
25,1468104,25:6:1468104,CONFEDERATION WELLINGTON,1004172
25,1468115,25:10:1468115,CONFEDERATION WELLINGTON,1004172
26,1468116,26:22:1468116,WELLINGTON MAXWELL,1004222
26,1468165,26:9:1468165,WELLINGTON MAXWELL,1004222
26,1468195,26:19:1468195,WELLINGTON MAXWELL,1004222
26,1468201,26:4:1468201,WELLINGTON MAXWELL,1004222
26,1468208,26:5:1468208,WELLINGTON MAXWELL,1004222
34,1468218,34:1:1468218,SOUTH VIDAL,1004187
26,1468222,26:6:1468222,WELLINGTON MAXWELL,1004222
26,1468231,26:1:1468231,WELLINGTON MAXWELL,1004222
25,1468234,25:12:1468234,CONFEDERATION WELLINGTON,1004172
26,1468244,26:5:1468244,WELLINGTON MAXWELL,1004222
26,1468246,26:12:1468246,WELLINGTON MAXWELL,1004222
26,1468252,26:4:1468252,WELLINGTON MAXWELL,1004222
26,1468254,26:14:1468254,WELLINGTON MAXWELL,1004222
26,1468263,26:16:1468263,WELLINGTON MAXWELL,1004222
26,1468266,26:16:1468266,WELLINGTON MAXWELL,1004222
25,1468270,25:8:1468270,CONFEDERATION WELLINGTON,1004172
26,1468271,26:13:1468271,WELLINGTON MAXWELL,1004222
26,1468274,26:21:1468274,WELLINGTON MAXWELL,1004222
25,1468287,25:3:1468287,CONFEDERATION WELLINGTON,1004172
34,1468314,34:4:1468314,SOUTH VIDAL,1004187
25,1468324,25:4:1468324,CONFEDERATION WELLINGTON,1004172
25,1468337,25:11:1468337,CONFEDERATION WELLINGTON,1004172
26,1468338,26:2:1468338,WELLINGTON MAXWELL,1004222
34,1468341,34:2:1468341,SOUTH VIDAL,1004187
25,1468343,25:14:1468343,CONFEDERATION WELLINGTON,1004172
25,1468346,25:7:1468346,CONFEDERATION WELLINGTON,1004172
25,1468347,25:2:1468347,CONFEDERATION WELLINGTON,1004172
26,1468350,26:19:1468350,WELLINGTON MAXWELL,1004222
26,1468358,26:20:1468358,WELLINGTON MAXWELL,1004222
26,1468366,26:13:1468366,WELLINGTON MAXWELL,1004222
26,1468373,26:15:1468373,WELLINGTON MAXWELL,1004222
26,1468380,26:8:1468380,WELLINGTON MAXWELL,1004222
26,1468381,26:11:1468381,WELLINGTON MAXWELL,1004222
26,1468385,26:1:1468385,WELLINGTON MAXWELL,1004222
26,1468406,26:21:1468406,WELLINGTON MAXWELL,1004222
26,1468411,26:18:1468411,WELLINGTON MAXWELL,1004222
34,1468428,34:6:1468428,SOUTH VIDAL,1004187
26,1468433,26:18:1468433,WELLINGTON MAXWELL,1004222
26,1468447,26:11:1468447,WELLINGTON MAXWELL,1004222
26,1468454,26:7:1468454,WELLINGTON MAXWELL,1004222
34,1468463,34:5:1468463,SOUTH VIDAL,1004187
25,1468469,25:1:1468469,CONFEDERATION WELLINGTON,1004172
26,1468470,26:3:1468470,WELLINGTON MAXWELL,1004222
26,1468472,26:23:1468472,WELLINGTON MAXWELL,1004222
26,1468475,26:12:1468475,WELLINGTON MAXWELL,1004222
26,1468484,26:17:1468484,WELLINGTON MAXWELL,1004222
36,1469089,36:1:1469089,INDIAN EAST,1004182
36,1469090,36:3:1469090,INDIAN EAST,1004182
36,1469091,36:5:1469091,INDIAN EAST,1004182
36,1469092,36:7:1469092,INDIAN EAST,1004182
36,1469093,36:9:1469093,INDIAN EAST,1004182
36,1469094,36:11:1469094,INDIAN EAST,1004182
36,1469095,36:13:1469095,INDIAN EAST,1004182
36,1469096,36:15:1469096,INDIAN EAST,1004182
36,1469097,36:17:1469097,INDIAN EAST,1004182
36,1469098,36:19:1469098,INDIAN EAST,1004182
36,1469099,36:21:1469099,INDIAN EAST,1004182
36,1469100,36:23:1469100,INDIAN EAST,1004182
36,1469101,36:1:1469101,INDIAN EAST,1004182
36,1469102,36:3:1469102,INDIAN EAST,1004182
36,1469103,36:5:1469103,INDIAN EAST,1004182
36,1469104,36:7:1469104,INDIAN EAST,1004182
36,1469105,36:9:1469105,INDIAN EAST,1004182
36,1469106,36:11:1469106,INDIAN EAST,1004182
36,1469107,36:13:1469107,INDIAN EAST,1004182
36,1469108,36:15:1469108,INDIAN EAST,1004182
36,1469109,36:17:1469109,INDIAN EAST,1004182
36,1469110,36:19:1469110,INDIAN EAST,1004182
36,1469111,36:21:1469111,INDIAN EAST,1004182
33,1470647,33:1:1470647,DOWNTOWN,1004193
33,1470648,33:2:1470648,DOWNTOWN,1004193
33,1470649,33:3:1470649,DOWNTOWN,1004193
33,1470650,33:4:1470650,DOWNTOWN,1004193
33,1470651,33:5:1470651,DOWNTOWN,1004193
33,1470652,33:6:1470652,DOWNTOWN,1004193
33,1470653,33:7:1470653,DOWNTOWN,1004193
33,1470654,33:8:1470654,DOWNTOWN,1004193
33,1470655,33:9:1470655,DOWNTOWN,1004193
33,1470656,33:9:1470656,DOWNTOWN,1004227
33,1470657,33:10:1470657,DOWNTOWN,1004227
33,1470658,33:11:1470658,DOWNTOWN,1004227
33,1470659,33:1:1470659,DOWNTOWN,1004227
33,1470660,33:2:1470660,DOWNTOWN,1004227
33,1470661,33:3:1470661,DOWNTOWN,1004227
33,1470662,33:4:1470662,DOWNTOWN,1004227
33,1470663,33:5:1470663,DOWNTOWN,1004227
33,1470664,33:6:1470664,DOWNTOWN,1004227
33,1470665,33:7:1470665,DOWNTOWN,1004227
33,1470666,33:8:1470666,DOWNTOWN,1004227
33,1470667,33:1:1470667,COLLEGE-LONDON RD LOBLAWS,1004326
33,1470668,33:2:1470668,COLLEGE-LONDON RD LOBLAWS,1004326
33,1470669,33:3:1470669,COLLEGE-LONDON RD LOBLAWS,1004326
33,1470670,33:4:1470670,COLLEGE-LONDON RD LOBLAWS,1004326
33,1470671,33:5:1470671,COLLEGE-LONDON RD LOBLAWS,1004326
33,1470672,33:6:1470672,COLLEGE-LONDON RD LOBLAWS,1004326
33,1470673,33:7:1470673,COLLEGE-LONDON RD LOBLAWS,1004326
